iter	Passed	Remaining
906	4099	420
907	4110	416
908	4112	411
909	4116	407
910	4128	403
911	4135	399
912	4139	394
913	4143	389
914	4155	386
915	4164	381
916	4171	377
917	4181	373
918	4193	369
919	4207	365
920	4221	362
921	4228	357
922	4234	353
923	4249	349
924	4261	345
925	4264	340
926	4271	336
927	4279	332
928	4285	327
929	4294	323
930	4302	318
931	4319	315
932	4327	310
933	4338	306
934	4347	302
935	4354	297
936	4361	293
937	4393	290
938	4411	286
939	4430	282
940	4434	278
941	4478	275
942	4492	271
943	4501	267
944	4512	262
945	4526	258
946	4544	254
947	4549	249
948	4556	244
949	4559	239
950	4562	235
951	4571	230
952	4584	226
953	4591	221
954	4597	216
955	4602	211
956	4605	206
957	4607	202
958	4611	197
959	4616	192
960	4621	187
961	4628	182
962	4634	178
963	4636	173
964	4641	168
965	4644	163
966	4646	158
967	4650	153
968	4652	148
969	4656	144
970	4659	139
971	4664	134
972	4668	129
973	4671	124
974	4676	119
975	4681	115
976	4686	110
977	4692	105
978	4695	100
979	4702	95
980	4704	91
981	4706	86
982	4718	81
983	4723	76
984	4727	71
985	4735	67
986	4737	62
987	4741	57
988	4747	52
989	4752	48
990	4756	43
991	4761	38
992	4764	33
993	4768	28
994	4772	23
995	4777	19
996	4779	14
997	4784	9
998	4789	4
999	4799	0
